mode,profile,size_bytes,depth,gap_ps,burst_messages,senders,qps,loss_ppm,offered_pps,offered_bps,messages,completions,errors,packets_issued,packets_retransmitted,recovery_episodes,timeouts,payload_bytes,wire_bytes,first_packet_ps,last_completion_ps,warm_start_ps,warm_payload_bytes,gap_time_ps,injected_losses,rx_packets_offered,rx_packets_delivered,rx_payload_bytes,rx_bytes_phy,rx_discards_phy,rx_discards_meter,rx_discards_rate,rx_discards_sequence,rx_high_watermark,out_of_sequence,packet_seq_err,roce_adp_retrans,local_ack_timeout_err,np_ecn_marked,tx_pause_ctrl_phy,late_releases,sender0_payload_bytes,sender1_payload_bytes,sender2_payload_bytes,congestion_control,receivers,egress_buffer_bytes,run_end_ps,np_cnp_sent,np_cnps_suppressed,np_congestion_observed,rp_cnp_handled,rp_cnp_ignored,rp_rate_cuts,rp_rate_increases,rp_min_rate_bps,rp_rate_persistence_breaks,egress_offered,egress_admitted,egress_dropped,egress_offered_bytes,egress_admitted_bytes,egress_dropped_bytes,egress_high_watermark,rx_payload_bytes_receiver1,rx_discards_phy_receiver1,replay_identical,steady_goodput_bps,steady_wire_bps,steady_offered_bps,steady_tax,steady_cnp_per_s,kind,np_threshold_bytes,cnp_min_interval_ps,cnp_per_qp_per_s,pre_bps,cut30_ms,fair_ms,recovery_ms,slope_bps_per_ms,overlap_share,overlap_offered_bps,overlap_wire_bps,overlap_goodput_bps,alpha_init_ppm,rate_step_bps,offered_target_bps,max_share,min_share,packets_lost,burst_ratio,loss_rate,amplification,receiver_split,delivered_fraction,identity_differences,identity_difference_names,rx_drain_bps,alpha_gain_ppm,alpha_update_ps
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,11563,0,7593104,4632348,1584013,164,31101353984,31587312640,2340000,2399928160476,0,0,0,0,6700308,2960747,12127219712,27873281280,137337,137337,0,1869305,262016,1641779,1583849,4632348,0,0,2145,0,11157897216,966787072,0,1,1,5200000,2400000000000,3324,4244832,4248156,3324,0,3324,19192,11904919410,0,7593104,6700317,892787,31587312640,27873318720,3713993920,5200000,0,0,1,,,,,,rp_grid,,,,96642790400.0,330.0,5.0,434.0,147303458.1309946,0.4901308004082659,102849272685.7143,98778082742.85715,14465714468.57143,250000,25000000,,,,,,,,,,,,,,
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,10673,0,7920750,5188011,1577769,176,32443392000,32950320000,2340000,2399999345953,0,0,0,0,6561468,2732731,11193266176,27295706880,139875,139875,0,1852952,262016,1638588,1577593,5188011,0,0,2185,0,10514071552,677380096,0,1,1,5200000,2400000000000,3406,4329573,4332979,3406,0,3406,19192,13006912553,0,7920750,6561476,1359274,32950320000,27295740160,5654579840,5200000,0,0,1,,,,,,rp_grid,,,,96641392640.0,338.0,5.0,430.0,112634359.99448435,0.4922459684131498,111958864457.14285,94669571657.14287,7618653622.857143,250000,27500000,,,,,,,,,,,,,,
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,12068,0,7276046,4186107,1405644,160,29802684416,30268351360,2340000,2399995723095,0,0,0,0,6457126,3089930,12656353280,26861644160,126668,126668,0,1703648,262016,1453188,1405484,4186107,0,0,1979,0,11436818432,1217396736,0,1,1,5200000,2400000000000,3066,3966372,3969438,3066,0,3066,19192,11746567621,0,7276046,6457135,818911,30268351360,26861681600,3406669760,5200000,0,0,1,,,,,,rp_grid,,,,94600396800.0,306.0,5.0,437.0,110257143.53667764,0.48609880913494535,93878838857.14285,92159356342.85715,21336227840.0,350000,22500000,,,,,,,,,,,,,,
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,10141,0,7545416,4948790,1691344,176,30906023936,31388930560,2340000,2399944047829,0,0,0,0,6593382,2596617,10635743232,27428469120,146125,146125,0,1994878,262016,1752749,1691168,4948790,0,0,2283,0,9817817088,815792128,0,1,1,5200000,2400000000000,3384,4440792,4444176,3384,0,3384,19192,11898996999,0,7545416,6593391,952025,31388930560,27428506560,3960424000,5200000,0,0,1,,,,,,rp_grid,,,,95364439040.0,325.0,5.0,528.0,95233517.49603608,0.4837629574621587,101153846857.14287,95212463542.85715,10546287177.142859,350000,25000000,,,,,,,,,,,,,,
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,8716,0,7909643,5677792,1855996,195,32397897728,32904114880,2340000,2399985162230,0,0,0,0,6621965,2231843,9141628928,27547374400,159676,159676,0,2163390,262016,1918102,1855801,5677792,0,0,2494,0,8252293120,887095296,0,1,1,5200000,2400000000000,3675,4910445,4914120,3675,0,3675,19192,12311934906,0,7909643,6621973,1287670,32904114880,27547407680,5356707200,5200000,0,0,1,,,,,,rp_grid,,,,95904307200.0,344.0,5.0,610.0,74514801.03134382,0.4930472017138056,112162823314.28572,99282892800.0,6671517988.571429,350000,27500000,,,,,,,,,,,,,,
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,11624,0,7298438,4321896,1488293,161,29894402048,30361502080,2340000,2399749238278,0,0,0,0,6489572,2976534,12191883264,26996619520,131239,131239,0,1771854,262016,1533886,1488132,4321896,0,0,2050,0,10664017920,1524629504,0,1,1,5200000,2400000000000,3126,4208306,4211432,3126,0,3126,19192,11851694884,0,7298438,6489580,808858,30361502080,26996652800,3364849280,5200000,0,0,1,,,,,,rp_grid,,,,87994050560.0,393.0,4.0,445.0,98793112.55669633,0.4902293206624936,99777100800.0,96507293257.14287,21599401691.428574,500000,22500000,,,,,,,,,,,,,,
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,10119,0,7554138,4963082,1682841,178,30941749248,31425214080,2340000,2399894578830,0,0,0,0,6549058,2591047,10612928512,27244081280,144609,144609,0,1968549,262016,1740580,1682663,4963082,0,0,2259,0,9691987968,918552576,0,1,1,5200000,2400000000000,3333,4355942,4359275,3333,0,3333,19192,11967262592,0,7554138,6549067,1005071,31425214080,27244118720,4181095360,5200000,0,0,1,,,,,,rp_grid,,,,89459102720.0,365.0,4.0,474.0,94596605.47466956,0.48807605001031806,104595521828.57144,97899490742.85715,14301406354.285715,500000,25000000,,,,,,,,,,,,,,
dynamics,cx5_100g,1048576,32,0,128,2,4,0,0,0,100000000,8872,0,7885265,5613254,1847457,192,32298045440,32802702400,2340000,2399848814673,0,0,0,0,6647008,2272003,9306124288,27651553280,158747,158747,0,2149247,262016,1918091,1847265,5613254,0,0,2480,0,8653897728,649068544,0,1,1,5200000,2400000000000,3579,4760849,4764428,3579,0,3579,19192,12256436906,0,7885265,6647016,1238249,32802702400,27651586560,5151115840,5200000,0,0,1,,,,,,rp_grid,,,,90923955200.0,293.0,5.0,526.0,72148762.78342475,0.5145008320677454,114419254857.14287,100000029257.14287,5203090285.714286,500000,27500000,,,,,,,,,,,,,,
lone,cx5_100g,65536,1024,0,128,1,1,0,0,80000000000,100000000,30516,0,488277,0,0,0,1999982592,2031232320,2340000,199994361598,0,0,0,0,488272,488272,1999962112,2031211520,0,0,0,0,5437,0,0,0,0,0,0,0,1999896576,0,0,1,1,5200000,200000000000,0,0,0,0,0,0,199,98617187500,0,488277,488277,0,2031232320,2031232320,0,4160,0,0,1,80000778240.0,81250790400.0,81249792000.0,0.01538461538461533,0.0,lone,,,,,,,,,,,,,,,80000000000.0,,,,,,,,,,,,,
lone,cx5_100g,65536,1024,0,128,1,4,0,0,20000000000,100000000,30516,0,488280,0,0,0,1999994880,2031244800,2340000,199990885191,0,0,0,0,488272,488272,1999962112,2031211520,0,0,0,0,9690,0,0,0,0,0,0,0,1999896576,0,0,1,1,5200000,200000000000,0,0,0,0,0,0,796,24654296875,0,488280,488280,0,2031244800,2031244800,0,4160,0,0,1,79998484480.0,81248460800.0,81248460800.0,0.01538461538461533,0.0,lone,,,,,,,,,,,,,,,80000000000.0,,,,,,,,,,,,,
lone,cx5_100g,65536,1024,0,128,1,1,0,0,90000000000,100000000,34331,0,549312,0,0,0,2249981952,2285137920,2340000,199997994857,0,0,0,0,549303,549303,2249945088,2285100480,0,0,0,0,5437,0,0,0,0,0,0,0,2249916416,0,0,1,1,5200000,200000000000,0,0,0,0,0,0,199,98617187500,0,549312,549312,0,2285137920,2285137920,0,4160,0,0,1,89999933440.0,91406182400.0,91406515200.0,0.01538461538461533,0.0,lone,,,,,,,,,,,,,,,90000000000.0,,,,,,,,,,,,,
lone,cx5_100g,65536,1024,0,128,1,4,0,0,22500000000,100000000,34328,0,549312,0,0,0,2249981952,2285137920,2340000,199979226719,0,0,0,0,549307,549307,2249961472,2285117120,0,0,0,0,9690,0,0,0,0,0,0,0,2249719808,0,0,1,1,5200000,200000000000,0,0,0,0,0,0,796,24654296875,0,549312,549312,0,2285137920,2285137920,0,4160,0,0,1,90000916480.0,91407180800.0,91405516800.0,0.01538461538461533,0.0,lone,,,,,,,,,,,,,,,90000000000.0,,,,,,,,,,,,,
cc,cx5_100g,65536,1024,0,128,2,4,0,0,0,100000000,25778,0,1135516,690240,274928,40,4651073536,4723746560,2340000,399991849381,0,0,0,0,1124353,445269,1823821824,4677308480,29607,29607,0,377155,262016,277480,274888,690240,0,0,462,0,887029760,802357248,0,1,1,5200000,400000000000,688,904968,905656,688,0,688,3192,10766281332,0,1135516,1124360,11156,4723746560,4677337600,46408960,5200000,0,0,1,40724070400.0,94781273600.0,94629350400.0,0.5703363243264121,1840.0,incast,,,230.0,,,,,,,,,,,,,0.5250601287919932,0.47493987120800685,40763,0.14828948517214283,0.03589821719817246,15.887594672959061,,,,,,,
cc,cx5_100g,65536,1024,0,128,3,4,0,0,0,100000000,4352,0,1421047,1288879,437704,60,5820608512,5911555520,2340000,344255437200,0,0,0,0,1201908,132019,540749824,4999937280,40803,40803,0,547367,262014,447071,437644,1288879,0,0,637,0,91029504,108134400,86048768,1,1,5200000,400000000000,1367,1199644,1201011,1367,0,1367,4788,8665625400,0,1421047,1203165,217882,5911555520,5005166400,906389120,5200000,0,0,1,11971788800.0,99999910400.0,120719206400.0,0.8802820047326763,3415.0,incast,,,284.5833333333333,,,,,,,,,,,,,0.3791360294117647,0.3017003676470588,258685,0.5910854484466826,0.18203831400368883,4.835696317835805,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,4212,0,1172792,93580,23942,10,4803756032,4878814720,2340000,399991936732,0,0,0,0,1164978,1079201,4420407296,4846308480,10522,10522,0,60009,262016,24607,23932,93580,0,0,164,0,2238709760,2177892352,0,1,1,5200000,400000000000,808,1030688,1031496,808,0,808,3192,10766281332,0,1172792,1164989,7803,4878814720,4846354240,32460480,5200000,0,0,1,94056939520.0,97135500800.0,97135833600.0,0.031693472053422544,2280.0,incast,,,285.0,,,,,,,,,,,,,0.5068850902184235,0.49311490978157646,18325,0.7657111816814307,0.01562510658326455,2.0283683752511616,,,,,,,
cc,cx5_100g,1048576,1024,0,128,3,4,0,0,0,100000000,267,0,1421047,1288879,437704,60,5820608512,5911555520,2340000,344253597200,0,0,0,0,1201908,132019,540749824,4999937280,40803,40803,0,547367,262014,447071,437644,1288879,0,0,637,0,89128960,105906176,84934656,1,1,5200000,400000000000,1367,1199644,1201011,1367,0,1367,4788,8665625400,0,1421047,1203165,217882,5911555520,5005166400,906389120,5200000,0,0,1,11971788800.0,99999910400.0,120719206400.0,0.8802820047326763,3415.0,incast,,,284.5833333333333,,,,,,,,,,,,,0.3782771535580524,0.30337078651685395,258685,0.5910854484466826,0.18203831400368883,4.835696317835805,,,,,,,
cc,cx5_100g,65536,1024,0,128,2,4,0,0,0,100000000,33684,0,1166031,615698,223229,33,4776062976,4850688960,2340000,374579829397,0,0,0,0,1144110,550206,2253643776,4759497600,28226,28226,0,347037,262016,226497,223196,615698,0,0,441,0,1153171456,1054343168,0,1,1,2600000,400000000000,663,860669,861332,663,0,663,3192,10766281332,0,1166031,1144743,21288,4850688960,4762130880,88558080,2600000,0,0,1,53317632000.0,97650176000.0,99358604800.0,0.4539934879380043,1680.0,incast,,,210.0,,,,,,,,,,,,,0.5223845149032181,0.47761548509678187,49514,0.22184089320597145,0.04246370808323278,10.691329335820962,,,,,,,
cc,cx5_100g,65536,1024,0,128,3,4,0,0,0,100000000,7480,0,1413089,1198808,379288,60,5788012544,5878450240,2340000,340787858000,0,0,0,0,1201908,213411,874131456,4999937280,40803,40803,0,554772,262014,385819,379228,1198808,0,0,637,0,166199296,164626432,159383552,1,1,2600000,400000000000,1362,1199649,1201011,1362,0,1362,4788,8669485710,0,1413089,1202541,210548,5878450240,5002570560,875879680,2600000,0,0,1,18516213760.0,99999910400.0,119918822400.0,0.814837696494576,3390.0,incast,,,282.5,,,,,,,,,,,,,0.3390374331550802,0.3251336898395722,251351,0.6627965234634573,0.17787343896951996,4.580997034831069,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,4334,0,1171915,61392,19374,9,4800163840,4875166400,2340000,399995390031,0,0,0,0,1163521,1110514,4548665344,4840247360,8361,8361,0,32239,262016,19793,19365,61392,0,0,130,0,2250244096,2294284288,0,1,1,2600000,400000000000,815,1026427,1027242,815,0,815,3192,10766281332,0,1171915,1163530,8385,4875166400,4840284800,34881600,2600000,0,0,1,94426726400.0,96938483200.0,96938150400.0,0.025910832489691726,2280.0,incast,,,285.0,,,,,,,,,,,,,0.5048454083987078,0.4951545916012921,16746,0.8647560030983733,0.014289432254045728,1.8132863523920386,,,,,,,
cc,cx5_100g,1048576,1024,0,128,3,4,0,0,0,100000000,471,0,1417738,1178568,370644,60,5807054848,5897790080,2340000,343332326800,0,0,0,0,1201908,216756,887832576,4999937280,40803,40803,0,556541,262014,377451,370584,1178568,0,0,637,0,140509184,164626432,188743680,1,1,2600000,400000000000,1368,1199643,1201011,1368,0,1368,4788,8669485710,0,1417738,1202541,215197,5897790080,5002570560,895219520,2600000,0,0,1,19247923200.0,99999910400.0,120528012800.0,0.8075205955384536,3420.0,incast,,,285.0,,,,,,,,,,,,,0.3821656050955414,0.28450106157112526,256000,0.6908015456684584,0.1805693294529737,4.472080601865219,,,,,,,
fanout,cx5_100g,65536,1024,0,128,1,2,0,0,0,100000000,37038,0,592646,0,0,0,2427478016,2465407360,2340000,199991218492,0,0,0,0,592637,592637,2427441152,2465369920,0,0,0,0,4160,0,0,0,0,0,0,0,2427322368,0,0,1,2,5200000,200000000000,0,0,0,0,0,0,398,49308593750,0,592646,592646,0,2465407360,2465407360,0,4160,1213718528,0,1,97100103680.0,98617292800.0,98617292800.0,0.01538461538461533,0.0,fanout,,,,,,,,,,,,,,,,,,,,,,0.5000008436867762,0.986172928,,,,,
fanout,cx5_100g,65536,1024,0,128,1,4,0,0,0,100000000,37036,0,592648,0,0,0,2427486208,2465415680,2340000,199980410230,0,0,0,0,592637,592637,2427441152,2465369920,0,0,0,0,4160,0,0,0,0,0,0,0,2427191296,0,0,1,2,5200000,200000000000,0,0,0,0,0,0,796,24654296875,0,592648,592648,0,2465415680,2465415680,0,4160,1213718528,0,1,97100103680.0,98617292800.0,98617958400.0,0.01538461538461533,0.0,fanout,,,,,,,,,,,,,,,,,,,,,,0.5000008436867762,0.986172928,,,,,
fanout,cx5_100g,1048576,1024,0,128,1,2,0,0,0,100000000,2314,0,592646,0,0,0,2427478016,2465407360,2340000,199915625990,0,0,0,0,592637,592637,2427441152,2465369920,0,0,0,0,4160,0,0,0,0,0,0,0,2426404864,0,0,1,2,5200000,200000000000,0,0,0,0,0,0,398,49308593750,0,592646,592646,0,2465407360,2465407360,0,4160,1213718528,0,1,97100103680.0,98617292800.0,98617292800.0,0.01538461538461533,0.0,fanout,,,,,,,,,,,,,,,,,,,,,,0.5000008436867762,0.986172928,,,,,
fanout,cx5_100g,1048576,1024,0,128,1,4,0,0,0,100000000,2312,0,592648,0,0,0,2427486208,2465415680,2340000,199742833794,0,0,0,0,592637,592637,2427441152,2465369920,0,0,0,0,4160,0,0,0,0,0,0,0,2424307712,0,0,1,2,5200000,200000000000,0,0,0,0,0,0,796,24654296875,0,592648,592648,0,2465415680,2465415680,0,4160,1213718528,0,1,97100103680.0,98617292800.0,98617958400.0,0.01538461538461533,0.0,fanout,,,,,,,,,,,,,,,,,,,,,,0.5000008436867762,0.986172928,,,,,
cc,cx5_100g,65536,1024,0,128,1,1,0,0,0,8,8,0,128,0,0,0,524288,532480,2340000,52913929,31316071,262144,0,0,128,128,524288,532480,0,0,0,0,14967,0,0,0,0,0,0,0,524288,0,0,0,1,0,52913929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
cc,cx5_100g,65536,1024,0,128,2,1,0,0,0,8,16,0,256,0,0,0,1048576,1064960,2340000,94919680,52321280,524288,0,0,256,256,1048576,1064960,0,0,0,0,40228,0,0,0,0,0,0,0,524288,524288,0,0,1,0,94919680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
cc,cx5_100g,65536,1024,0,128,3,1,0,0,0,8,24,0,384,0,0,0,1572864,1597440,2340000,137518080,73620480,786432,0,0,384,384,1572864,1597440,0,0,0,0,58332,0,0,0,0,0,0,0,524288,524288,524288,0,1,0,137518080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
cc,cx5_100g,1048576,1024,0,128,1,1,0,0,0,8,8,0,2048,0,0,0,8388608,8519680,2340000,700849665,355283939,4194304,0,0,2048,2048,8388608,8519680,0,0,0,0,178343,0,0,0,0,0,0,0,8388608,0,0,0,1,0,700849665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
cc,cx5_100g,1048576,1024,0,128,2,1,0,0,0,8,16,0,192415,188319,66801,2,788131840,800446400,2340000,75156735529,73130751271,8388608,0,0,192415,4096,16777216,800446400,6479,6479,0,69247,262014,67068,66799,188319,0,0,101,0,8388608,8388608,0,0,1,0,75156735529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
cc,cx5_100g,1048576,1024,0,128,3,1,0,0,0,8,24,0,506854,500710,192706,9,2076073984,2108512640,2340000,212247452715,148877818880,12582912,0,0,506854,6144,25165824,2108512640,17169,17169,0,198552,262014,194409,192697,500710,0,0,268,0,8388608,8388608,8388608,0,1,0,212247452715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,6,48,0,170905,158617,59002,8,700026880,710964800,2340000,105343294060,69230299805,25165824,0,0,139595,12288,50331648,580715200,4516,4516,0,65312,262014,60029,58994,158617,0,0,70,0,25165824,25165824,0,0,1,5200000,105343294060,0,0,0,0,0,0,0,0,0,170905,139595,31310,710964800,580715200,130249600,5200000,0,0,1,3822295359.120461,,53992220869.42209,0.9292065542485366,,collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,12,96,0,59320,34744,10808,7,242974720,246771200,2340000,77617159970,68918621993,50331648,0,0,52714,24576,100663296,219290240,1123,1123,0,16001,262014,11448,10801,34744,0,0,17,0,50331648,50331648,0,1,1,5200000,77617159970,30,34079,34109,30,0,30,616,11679291179,0,59320,52714,6606,246771200,219290240,27480960,5200000,0,0,1,,,,,,replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc,cx5_100g,1048576,1024,0,128,2,4,0,0,0,100000000,275,0,1350651,1241733,433409,40,5532266496,5618708160,2340000,341502925200,0,0,0,0,1201908,108377,443912192,4999937280,40803,40803,0,579071,262014,445330,433369,1241733,0,0,637,0,143654912,144703488,0,1,1,5200000,400000000000,912,1200099,1201011,912,0,912,3192,12961051606,0,1350651,1203164,147487,5618708160,5005162240,613545920,5200000,0,0,1,9634611200.0,99999910400.0,106950438400.0,0.9036538016738063,2280.0,drain_sensitivity,,,285.0,,,,,,,,,,250000,,,0.5018181818181818,,,,,,,,,,96600000000,,
