evidence_class,family,cell_id,status,mismatch_count,clause,expected,actual
behavioral,F2,f2-chunking-off-stop-at-head,PASS,0,F2 disabled chunking stops at an over-budget waiting head,"{""decision_steps"": 0, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 0, ""surrogate_decision_steps"": 0}"
behavioral,F2,f2-chunking-off-threshold,PASS,0,F2 long-prefill threshold is applied before disabled chunking,"{""decision_steps"": 2, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 2}"
behavioral,F3,f3-blocks3-seqs1,PASS,0,F3 three blocks with one concurrent sequence,"{""decision_steps"": 6, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {""1"": ""1"", ""2"": ""2""}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 6}"
behavioral,F3,f3-blocks3-seqs2,PASS,0,F3 three blocks with two concurrent sequences,"{""decision_steps"": 5, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {""1"": ""1"", ""2"": ""2""}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 5}"
behavioral,F3,f3-blocks5-seqs1,PASS,0,F3 five blocks with one concurrent sequence,"{""decision_steps"": 6, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4""}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 6}"
behavioral,F3,f3-blocks5-seqs2,PASS,0,F3 five blocks with two concurrent sequences,"{""decision_steps"": 3, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4""}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 3}"
behavioral,F4,f4-zero-full-prefix-blocks,FAIL,6,F4 repeated prefixes share zero full hash blocks,"{""decision_steps"": 2, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {""1"": ""1"", ""2"": ""2"", ""3"": ""3""}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 2, ""surrogate_decision_steps"": 2}"
behavioral,F4,f4-one-full-prefix-block,FAIL,6,F4 repeated prefixes share one full hash block,"{""decision_steps"": 2, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {""1"": ""1"", ""2"": ""2""}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 2, ""surrogate_decision_steps"": 2}"
behavioral,F4,f4-several-full-prefix-blocks,FAIL,10,"F4 several full hash blocks, full-hit last-token recompute, and stable eviction order","{""decision_steps"": 3, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4""}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 3, ""surrogate_decision_steps"": 3}"
behavioral,F5,f5-one-offset750000,PASS,0,F5 one follower at 750000 ps,"{""decision_steps"": 4, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 4}"
behavioral,F5,f5-one-offset1250000,PASS,0,F5 one follower at 1250000 ps,"{""decision_steps"": 4, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 4}"
behavioral,F5,f5-three-offset750000,PASS,0,F5 three followers at 750000 ps,"{""decision_steps"": 4, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 4}"
behavioral,F5,f5-three-offset1250000,PASS,0,F5 three followers at 1250000 ps,"{""decision_steps"": 5, ""oracle"": ""live vLLM SchedulerOutput and frozen literals""}","{""block_bijection"": {}, ""live_completion_drains"": 0, ""surrogate_completion_drains"": 1, ""surrogate_decision_steps"": 5}"
behavioral,F6,f1-budget16-seqs2,FAIL,6,F6 identical pricing chain and metric reachability,"{""live_kv_accounting"": {""action_counts"": {""allocate"": 3, ""free"": 3, ""release"": 3}, ""block_visits"": {""allocate"": 3, ""free"": 3, ""release"": 3}, ""token_spans"": {""allocate"": 48, ""free"": 48, ""release"": 48}}, ""live_replay"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 0}, ""completed_at_ps"": 984000, ""latency_ps"": 984000, ""phase"": ""prefill"", ""request_id"": ""r0"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 0, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 1984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 1984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r0"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 3936000, ""visibility_ps"": 0, ""visit_count"": 144}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 1968000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 1984000, ""latency_ps"": 1984000, ""phase"": ""prefill"", ""request_id"": ""r1"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 1984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 1, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 2984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 2984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r1"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 1984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 0}, ""completed_at_ps"": 2984000, ""latency_ps"": 984000, ""phase"": ""prefill"", ""request_id"": ""r2"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 2, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 3984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 3984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r2"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 3, ""step_latency_ps"": 984000}]}","{""live_replay"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 0}, ""completed_at_ps"": 984000, ""latency_ps"": 984000, ""phase"": ""prefill"", ""request_id"": ""r0"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 0, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 1984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 1984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r0"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 3936000, ""visibility_ps"": 0, ""visit_count"": 144}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 1968000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 1984000, ""latency_ps"": 1984000, ""phase"": ""prefill"", ""request_id"": ""r1"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 1984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 1, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 2984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 2984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r1"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 1984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 0}, ""completed_at_ps"": 2984000, ""latency_ps"": 984000, ""phase"": ""prefill"", ""request_id"": ""r2"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 2, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 3984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 3984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r2"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 3, ""step_latency_ps"": 984000}], ""surrogate_kv_accounting"": {""action_counts"": {""allocate"": 3, ""free"": 3, ""release"": 3, ""reserve"": 3, ""write"": 7}, ""block_visits"": {""allocate"": 3, ""free"": 3, ""release"": 3, ""reserve"": 0, ""write"": 7}, ""token_spans"": {""allocate"": 48, ""free"": 48, ""release"": 48, ""reserve"": 48, ""write"": 30}}, ""surrogate_priced"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 0}, ""completed_at_ps"": 984000, ""latency_ps"": 984000, ""phase"": ""prefill"", ""request_id"": ""r0"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 0, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 1984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 1984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r0"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 3936000, ""visibility_ps"": 0, ""visit_count"": 144}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 1968000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 1984000, ""latency_ps"": 1984000, ""phase"": ""prefill"", ""request_id"": ""r1"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 1984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 1, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 2984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 2984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r1"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 1984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 0}, ""completed_at_ps"": 2984000, ""latency_ps"": 984000, ""phase"": ""prefill"", ""request_id"": ""r2"", ""token_index"": 1, ""tpot_ps"": null, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 2, ""step_latency_ps"": 984000}, {""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""completed_at_ps"": 3984000, ""request_metrics"": [{""additive_visit_totals"": {""queue_wait_ps"": 0, ""service_ps"": 1968000, ""visibility_ps"": 0, ""visit_count"": 72}, ""attribution"": {""collective_ps"": 0, ""control_ps"": 0, ""dma_ps"": 0, ""kernel_ps"": 984000, ""kv_ps"": 0, ""nic_ps"": 0, ""queue_ps"": 16000}, ""completed_at_ps"": 3984000, ""latency_ps"": 1000000, ""phase"": ""decode"", ""request_id"": ""r2"", ""token_index"": 2, ""tpot_ps"": {""denominator"": 1, ""numerator"": 1000000}, ""ttft_ps"": 984000}], ""schema"": ""simllm-step-result-v2"", ""step_index"": 3, ""step_latency_ps"": 984000}]}"
